                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6007,                 6.3305,                 5.4132,                 2.1784,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.1286,                 5.7283,                  5.715,                 2.3732,                  0.001,                  0.001,                  0.001
                      2,                 4.3922,                   5.78,                 4.4345,                 2.0039,                0.05873,                 0.0185,                0.00993,                0.00259,                0.01015,                0.05166,                0.00808,                0.00252,                 4.2463,                 4.9356,                 3.6794,                 1.8783,              0.0020996,              0.0020996,              0.0020996
                      3,                 3.9035,                 5.0324,                  3.489,                  1.654,                0.02177,                 0.0825,                0.01994,                0.00728,                0.01606,                0.08173,                0.01273,                0.00406,                 3.5546,                 4.6593,                 3.0607,                 1.4846,              0.0031987,              0.0031987,              0.0031987
                      4,                 3.6722,                 4.6645,                 3.1339,                 1.5321,                0.01924,                0.09792,                0.01398,                0.00479,                0.01939,                0.09869,                0.01412,                0.00443,                 3.3101,                 4.3016,                 3.2403,                 1.2876,              0.0042974,              0.0042974,              0.0042974
                      5,                 3.3585,                 4.4306,                 2.8632,                 1.3783,                0.04992,                0.06631,                0.01908,                0.00592,                0.03526,                0.05783,                0.01521,                0.00525,                 3.2184,                 4.0846,                 3.1456,                 1.2983,              0.0053957,              0.0053957,              0.0053957
                      6,                  3.258,                 4.2659,                 2.9341,                 1.2951,                0.03197,                0.16268,                0.03606,                0.01335,                0.02621,                0.13338,                0.02703,                0.01102,                 3.0721,                 3.9758,                 2.7084,                 1.2818,              0.0064936,              0.0064936,              0.0064936
                      7,                 3.2711,                 4.0545,                 2.7798,                 1.3028,                 0.0695,                0.07093,                0.02392,                 0.0091,                0.04547,                0.03701,                0.01345,                0.00496,                 3.1159,                  4.151,                 5.1823,                 1.2842,               0.007591,               0.007591,               0.007591
                      8,                 3.0594,                 4.0745,                 2.8308,                 1.2769,                0.10084,                0.10023,                0.04282,                0.01671,                0.06604,                 0.0717,                0.02964,                0.01085,                 3.0108,                 3.7575,                 3.5507,                 1.2615,              0.0086879,              0.0086879,              0.0086879
                      9,                 3.1504,                 4.0403,                 2.6761,                 1.2839,                0.12083,                0.10486,                0.04368,                0.01501,                0.10997,                0.07402,                0.03202,                 0.0091,                 3.1022,                 4.7854,                 6.0174,                 1.2738,              0.0097845,              0.0097845,              0.0097845
                     10,                 3.0062,                 4.0353,                 2.6784,                 1.2835,                0.01515,                 0.0771,                0.00816,                0.00313,                0.01136,                0.05783,                0.00601,                0.00194,                 3.1007,                 132.36,                    inf,                 1.3307,              0.0099822,              0.0099822,              0.0099822
                     11,                 3.0962,                  4.013,                 2.6719,                 1.2683,                0.01197,                0.06091,                0.00638,                 0.0023,                0.01076,                0.05474,                0.00569,                0.00167,                 3.5062,                 130.87,                    inf,                 1.6877,              0.0099822,              0.0099822,              0.0099822
                     12,                 3.0496,                  3.961,                 2.5789,                 1.2401,                0.00833,                0.04241,                0.00436,                0.00173,                0.00621,                0.03161,                0.00321,                0.00114,                 3.2182,                 5.0803,                    inf,                 1.2734,              0.0099802,              0.0099802,              0.0099802
                     13,                 3.0336,                 3.9303,                 2.4611,                 1.2021,                0.01561,                0.07941,                0.00849,                0.00364,                0.01325,                0.06708,                0.00713,                0.00262,                 3.1715,                  4.251,                 36.197,                 1.2621,              0.0099782,              0.0099782,              0.0099782
                     14,                 2.9868,                 3.8581,                 2.4795,                 1.1983,                0.11177,                0.08096,                0.04537,                0.01814,                0.10089,                0.07787,                0.04064,                 0.0123,                 3.0698,                 3.7562,                 3.3423,                  1.245,              0.0099762,              0.0099762,              0.0099762
