Image,Signal to Noise Ratio
mask_3160.h5,0.2278177458033573
mask_1065.h5,0.0024473813020068525
mask_3020.h5,0.0
mask_1125.h5,0.0028155220957277512
mask_3131.h5,0.1052347544522396
mask_1034.h5,0.04683406811066385
mask_3071.h5,0.019793352421262293
mask_1174.h5,0.01719749177376296
mask_3253.h5,0.015054829316647048
mask_1356.h5,0.0
mask_3313.h5,0.0
mask_3082.h5,0.0479053405820275
mask_1216.h5,0.01317172716591429
mask_1187.h5,0.0
mask_3202.h5,0.0
mask_3193.h5,0.0
mask_1307.h5,0.0
mask_1096.h5,0.0004885197850512946
mask_3342.h5,0.0
mask_1247.h5,0.02291315477305363
mask_2329.h5,0.0
mask_3045.h5,0.002386050780055063
mask_1140.h5,0.005708673500705911
mask_159.h5,0.0
mask_388.h5,0.0055852206469035786
mask_3294.h5,0.009550804116088484
mask_3105.h5,0.04071650892460141
mask_1391.h5,0.0
mask_1000.h5,0.0021408037188818886
mask_2269.h5,0.06868436501206705
mask_2378.h5,0.0
mask_299.h5,0.0028155220957277512
mask_108.h5,0.021701172362185085
mask_3385.h5,0.0
mask_3014.h5,0.0006718377817137971
mask_1280.h5,0.04025396825396826
mask_1111.h5,0.008432325967870991
mask_3154.h5,0.005832156670145497
mask_1051.h5,0.017008069522036002
mask_2238.h5,0.004537093807480074
mask_3376.h5,0.0
mask_1273.h5,0.006202788183995578
mask_3236.h5,0.005523505584877869
mask_1333.h5,0.06611140031233732
mask_3327.h5,0.0
mask_1222.h5,0.0
mask_59.h5,0.02272159800249688
mask_3267.h5,0.0
mask_1362.h5,0.0
mask_3469.h5,0.0
mask_575.h5,0.0
mask_2806.h5,0.0847457627118644
mask_2494.h5,0.0
mask_2705.h5,0.0
mask_2645.h5,0.026630741274515948
mask_435.h5,0.0034296913277804997
mask_2946.h5,0.0
mask_3529.h5,0.009986438170385895
mask_2857.h5,0.0
mask_524.h5,0.0
mask_3438.h5,0.0
mask_2754.h5,0.018778758860838206
mask_2585.h5,0.0
mask_2614.h5,0.0
mask_3578.h5,0.0
mask_2917.h5,0.006326392727719427
mask_464.h5,0.030440251572327045
mask_945.h5,0.004537093807480074
mask_2436.h5,0.0
mask_646.h5,0.06272296815203995
mask_706.h5,0.007564110448311912
mask_497.h5,0.005893909626719057
mask_805.h5,0.015684086541441943
mask_2576.h5,0.0
mask_2467.h5,0.1145578231292517
mask_914.h5,0.06500260010400416
mask_617.h5,0.0
mask_586.h5,0.06403429016755423
mask_7.h5,0.0
mask_757.h5,0.05173963281550905
mask_2527.h5,0.0
mask_854.h5,0.0029996939087848177
mask_2620.h5,0.0
mask_2923.h5,0.0032453615822668545
mask_450.h5,0.014929071424146689
mask_1449.h5,0.002631417905880913
mask_1698.h5,0.5272184936614467
mask_1509.h5,0.010110974106041924
mask_2863.h5,0.0
mask_681.h5,0.0846021448431087
mask_510.h5,0.021764889304646085
mask_2760.h5,0.0348007326470031
mask_982.h5,0.0
mask_893.h5,0.013924128968376756
mask_2671.h5,0.0
mask_1789.h5,0.0
mask_1418.h5,0.0
mask_790.h5,0.04483132453287418
mask_401.h5,0.0023247277621436437
mask_2972.h5,0.0
mask_541.h5,0.017702962916951365
mask_2832.h5,0.0
mask_1558.h5,0.0
mask_2731.h5,0.0
mask_2981.h5,0.0
mask_763.h5,0.20444019701536426
mask_1879.h5,0.0076260762607626075
mask_2513.h5,0.0004885197850512946
mask_2682.h5,0.12265314512813486
mask_860.h5,0.0
mask_2453.h5,0.0
mask_920.h5,0.002263412246895455
